row,permalink,posted_at,stage,format,caption,is_partnership,cta_keyword
11,https://www.instagram.com/reel/C-tHEwxyso1/,2024-08-15 21:00,Evergreen PPP,reel,"You are not invisible. You are not past your prime. You are beautiful for your wisdom, grit, perseverance, generosity, selflessness, care, determination and for NEVER giving up on yourself - even though sometimes life feels really hard. 

I see you. I am you. I celebrate you.

So let’s celebrate you - share something about yourself that you’re really proud of🤍",false,
12,https://www.instagram.com/reel/C_tDij2Mcr_/,2024-09-09 17:00,Evergreen PPP,reel,"Does this ring true for you?!

Have you ever woken up and felt 20 years older? 

Body aches, sagging skin?

It’s not all in your head!

New research from Stanford Medicine reveals that our bodies go through two periods of rapid change, around ages 44 and 60.

Researchers found that thousands of our molecules and even the microbes living in us experience dramatic changes around these ages.

At around 44, changes in molecules were linked to cardiovascular disease and the ability to metabolise caffeine, alcohol and lipids. The researchers unsurprisingly linked this to perimenopause in women.

The second wave of changes happens around 60 and included molecules involved in immune regulation, carbohydrate metabolism and kidney function. Molecules linked to skin and muscle ageing changed at both time points

These changes aren’t gradual. They’re sudden, and they affect everything from metabolism and immune function to skin and muscle health.

So what does this mean for us? Pay attention to your health during these critical years. Simple lifestyle tweaks, like more exercise and less alcohol, can make a big difference!

Does this track for you? Have you felt a burst of aging?! Share your experience below🤍",false,
13,https://www.instagram.com/reel/DAwlKbcMlny/,2024-10-05 22:32,Evergreen PPP,reel,"To all my ladies giving everything to everyone. Being everything to everyone around you. Carrying so much, while going through a seismic shift physiologically.

Give yourself some grace. How could you get some rest? How could you inject some joy into your day? Some belly laughs, or some solitude? Stillness or company?

I love these words by @heycoryallen - this hit for me🎯 How about you?",false,
14,https://www.instagram.com/reel/DBzh0kis0LP/,2024-10-31 22:23,Evergreen PPP,reel,"If you’re struggling with weight gain in perimenopause, these 3 things could be sabotaging your efforts to lose it:

1. The Pendulum Effect: You over-restrict and the pendulum swings so far one way, until your will power runs out and you swing all the way over to the opposite side and overeat.

2. Not eating enough protein: I know I know, you hear this everywhere, but truly, protein is so important and you’re likely not eating enough. Recent research found the “Protein leverage effect” where due to muscle loss in perimenopause, the body requires more protein and when we don’t get enough protein, we tend to overeat on other foods to make up for it, which can  lead to weight gain.

3. Not eating enough fiber: research show that soluble fiber can reduce visceral fat by stabilizing blood sugar and increasing satiety making fat loss easier. Fiber is also essential for a healthy gut microbiome which supports fat metabolism and reduces inflammation.

Do any of these surprise you? Have you learnt something new? Share below🤍",false,
15,https://www.instagram.com/reel/DEqZyAasQgw/,2025-01-10 23:00,Evergreen PPP,reel,"I started rucking a couple of years ago for the cardiovascular benefits - later to discover it is incredible for bone health…. 

You can use a weighted vest or backpack that is heavy enough to make fast walking challenging.

But let’s be honest… anyone with kids has been rucking since the dawn of time and whenever I have to carry mine for miles I’m grateful to myself for the training I’ve put in😂

Do you ruck? If not, this is your sign to start!💪🏼",false,
16,https://www.instagram.com/reel/DF04reMsw9c/,2025-02-08 21:08,Evergreen PPP,reel,"You don’t need to be dripping in night sweats to be in perimenopause.

Yet so many women are dismissed because their symptoms aren’t bad enough or because they’re too young.

🔥 Perimenopause can start in your 30s & 40s.
🔥 It doesn’t always show up in lab tests.
🔥 And it’s more than just hot flashes.

If you’re feeling:
⚡ More anxious than ever (for no reason)
⚡ Exhausted but can’t sleep
⚡ Foggy, forgetful, & frustrated
⚡ Stuck with stubborn belly fat that won’t budge...

🚨 You’re not crazy, and you’re not alone.

Comment: STAGES to take the Perimenopause Quiz to get clarity on what stage of perimenopause you’re in.",false,STAGES
17,https://www.instagram.com/reel/DGBoeY0sDSC/,2025-02-13 19:57,Evergreen PPP,reel,"Perimenopause sneaks up on so many women in midlife - one day you’re loving life… and the next you’re crying at a TV commercial and can’t stop😭

Perimenopause can actually be really hard to pin down - in fact, a recent survey of more than 1300 women peri/menopausal women aged between 35-55, 63.3% reported “not feeling like myself” at least 50% of the time in the last 3 months.

Does this ring true for you? It hits the bullseye for me! 🎯 

3 years ago I was really struggling with crippling anxiety, irrational fear (of my kids drowning in a swimming lesson / being in a plane crash / going to social events) which I had never experienced before. I felt numb and lost and would cry for hours without being able to identify why. I felt stuck and was afraid life was all downhill from then on…

Fast forward to today and I feel vibrant, energized and a sense of control again. I started eating and moving for my midlife physiology and it changed everything🤩

Now I help women from all over the world do the same - and they are thriving.

Here are just a few wins my clients have experienced since joining my program 💅🏻 

🔥 Lost 15lbs, feels stronger than ever and stomach is a lot smaller
😎 Zero brain fog, improved tinnitus, tingly feelings on skin disappeared
😍 Going from hating workouts to CRAVING workouts
🤯 Lost 12lbs in 30 days
🤩 Hot flashes gone

You are not past your prime. Suffering is not inevitable in midlife.

The only thing standing in your way of feeling VIBRANT + POWERFUL is a strategy that actually works in perimenopause and menopause.

Comment: MASTERCLASS and then check your DM’s to sign up for my masterclass where I share my proven Paise Power Method to improve symptoms, get back to your healthiest weight and finally feel like YOU again.",false,MASTERCLASS
18,https://www.instagram.com/reel/DGEo6qNiWRd/,2025-02-14 23:58,Evergreen PPP,reel,"Perimenopause hit me like a freight train. 🚂💨 

One day, I was full of energy, dancing through life… the next, everything ached, my motivation vanished, and even getting off the couch felt like a workout. Sound familiar?

But here’s the thing—an object in motion stays in motion. Moving your body (even when you don’t feel like it) is one of the best ways to get your energy back. You don’t have to stay stuck in the struggle. You deserve to wake up feeling GOOD.

And if you want to learn more about the stages of perimenopause and where you might be on your journey, and how to start feeling like yourself again, comment STAGES",false,STAGES
19,https://www.instagram.com/reel/DGf9hAbsalf/,2025-02-25 14:37,Evergreen PPP,reel,"“Why can’t I lose weigggggght?!!”😭😭😭 

I get these DM’s on a daily basis - women desperate to understand why what they have always done to get themselves back into shape, just seems to stop working once you hit perimenopause.

The truth is, that “eating less and exercising more”, restricting calories down to 1200 a day and going extremely low carb don’t work for our midlife bodies, because they don’t address the the root cause of why the weight gain is happening in the first place.

Comment: QUIZ to get to the root cause of your weight gain so that you can apply a strategy that actually works💜",false,QUIZ
20,https://www.instagram.com/p/DGgKodesvcF/,2025-02-25 16:31,Evergreen PPP,carousel,"FIRST, COMMENT: THRIVE

If you’ve been told “It’s just something that happens at your age”—I need you to know something.

❌ Your body isn’t broken.
❌ Weight gain isn’t inevitable.
❌ You don’t have to accept feeling sluggish, stuck, or out of control.

I see it all the time—women who have tried everything to lose the stubborn weight, only to feel like their bodies are working against them.

💡 But here’s what no one is telling you: 

Perimenopause isn’t the problem—your strategy is.
When you work with your shifting hormones instead of against them:

✨ Your metabolism responds.
✨ The weight starts to come off.
✨ Your energy skyrockets.

This isn’t about luck, willpower, or another extreme diet. It’s about understanding what your body needs in midlife.

Inside Thrive in 2025, I teach women exactly how to work with their changing body—not against it—so they can drop the belly fat, improve symptoms, and rebuild their metabolism.

🚨 If you’re done feeling dismissed and ready to thrive in midlife, this is your sign.

Comment “THRIVE” to save your seat.

#MidlifeMetabolism #PerimenopauseWeightLoss #StrongerThanEver #PowerfulPerimenopause",false,THRIVE
21,https://www.instagram.com/reel/DGyjyxEsV9E/,2025-03-04 20:02,Evergreen PPP,reel,"Tushy just dropped their most luxurious bidet ever, and trust me… your midlife bits deserve every single feature, 

Meet the brand new TUSHY Aura — the ultimate bathroom upgrade:

✨ Automatic lid & seat that opens like magic (no hands required!)
✨ Heated seat — toasty buns every time
✨ UV sterilization — keeps it fresher than fresh
✨ Warm water cleanse — gentle and soothing for sensitive skin
✨ Built-in air dryer — no toilet paper needed
✨ Integrated night light — because bathroom trips at 3am deserve ambiance

Not only is it more hygienic than wiping, it’s also a total game-changer if you’re struggling with hemorrhoids, irritation, or dryness (thanks, menopause).

Because you deserve better than scratchy toilet paper — you deserve spa-level care, every single time.

Ready to treat your tush like the queen she is?

Comment: TUSHY for all the details and use the code: WHATTHEMENOPAUSE at checkout for a special discount for the all new Aura.

#hellotushy #tushybidet",false,
22,https://www.instagram.com/reel/DG5_e9Hs5To/,2025-03-07 17:20,Evergreen PPP,reel,"We’ve teamed up with our friends at @swirise_official to givaway one Elite 500 redlight therapy panel

Here’s why every woman in perimenopause should know about this:

✨ Reduces wrinkles + fine lines (hello collagen boost)
✨ Boosts energy at a cellular level (exhaustion isn’t your personality)
✨ Reduce inflammation
✨ Improve muscle & joint pain
✨ Aid recovery
✨ Improve mood
✨ Glowing skin + stronger hair (because midlife glow-ups are a thing)
✨ Deeper sleep (goodbye broken nights)
✨ Calms stress + supports hormones (because perimenopause is a lot)

And the best part? You could win your very own Swirise Elite 500 panel.

Here’s how to enter
1. Follow @swirise_official 
2. Comment below and tell me: What’s the main reason you want to try red light therapy?

Entries close 14th March 12pm ET. Winner will be chosen at random. 18 years and older. This giveaway isn’t endorsed, administered or sponsored by Instagram. Winner will be notified by DM on 15th March. GOOD LUCK!",false,
23,https://www.instagram.com/reel/DG9Giu9sMTh/,2025-03-08 22:17,Evergreen PPP,reel,"You expect the hot flashes. Maybe even the mood swings.

But what about:

❓ Cold flashes — like an ice storm ripping through your body out of nowhere.
❓ Heart palpitations — so intense you’re convinced it’s a heart attack.
❓ Itchy ears — the kind that make you want to scream.
❓ Phantom burning smells — you smell smoke… but nothing’s on fire.
❓ Relentless ringing ears — like a high-pitched alarm no one else can hear.
❓ Plantar fasciitis — every step feels like punishment.
❓ Vertigo — the room spins even when you’re standing still.
❓ Panic attacks — from calm to code red in 30 seconds flat — for no reason.

Nobody talks about these — but they’re happening to women everywhere.

You’re not crazy — and you’re definitely not alone.

This is what happens when estrogen and progesterone start fluctuating and declining — because those hormones are involved in nearly every system in your body.

The good news? You’re not broken. 

You can take action. And you can feel good in your body again.

If you’re struggling — or just want to understand WTF is going on — join my FREE Masterclass.

I’ll walk you through my proven Pause Power Method — the exact system that’s helped women just like you:
✨ Lose 20lbs (without starving or suffering)
✨ Eradicate hot flashes (yes, really!)
✨ Improve tinnitus (the ringing doesn’t have to rule your life)
✨ Go from wide awake at 3AM every morning to consistent deep, restful sleep
✨Drop stubborn belly fat

Comment “MASTERCLASS” and I’ll DM you all the details.

You deserve answers — and a body that actually feels good to live in.",false,MASTERCLASS
24,https://www.instagram.com/p/DHMa8UJM57H/,2025-03-14 22:00,Evergreen PPP,image,"POV: You survived another week of perimenopause without losing your sh*t in a Target aisle. (…Barely😅)

✨ Another week of…
 ✅ Surprise bloating that makes you question everything you ate.
 ✅ Random 3AM wake-ups for no reason at all.
 ✅ Cravings so intense, you’d sell your soul for a bar of chocolate.
 ✅ Mood swings that make even you scared of yourself.

Know this:
💡 Your symptoms and experience is valid
💡 You’re not alone.
💡 You CAN feel phenomenal in midlife.

Share this if your week has been a whole damn rollercoaster.",false,
25,https://www.instagram.com/reel/DHmXQ0HMLBm/,2025-03-24 22:50,Evergreen PPP,reel,"If you’re struggling with weight gain in perimenopause or menopause….

If you feel like you’re doing ALL the right things but nothing is working….

If you’re eating less than ever but still not losing weight….

You’re not broken - your body is different now and you are not addressing the root cause.

I’ve helped thousands of women, just like you, not only improve their energy and vibrancy, but also help them reverse menopause weight gain.

If you’re fed up with feeling stuck

Comment: QUIZ to take the quiz to get to your root cause🤍",false,QUIZ
26,https://www.instagram.com/reel/DPw-bJtDAmD/,2025-10-13 21:56,Multi-product,reel,"You don’t expect perimenopause to mess with your mind.

But for so many of us, it starts there.

The anxiety.
The fog.
The feeling like your spark is gone… and you can’t explain why.

I’ve been there… crying on the floor, feeling like my life was unravelling and something in my brain had snapped.

No one tells you about this.

And too often, doctors dismiss it as “just stress.”

But you’re not broken. You’re not crazy.

You’re in the middle of a transition no one prepared you for.

And there is a path forward… 

One where you thrive instead of just survive.

✨ If you’re ready to feel like you again, 

Comment THRIVE below.",false,THRIVE
27,https://www.instagram.com/p/DQPgn1YE_tA/,2025-10-25 18:30,Multi-product,carousel,"What you do in midlife matters.

Because now, every choice counts:
– What you eat
– How you move
– How you sleep
– How you handle stress

And the best part?

You don’t need to overhaul your life, you just need to start.

✨ Small habits.
✨ Simple choices.
✨ Stacked daily wins.

It’s not too late.
You’re not too far gone.

And change doesn’t have to feel like punishment.

📍The 3-Week Reset shows you exactly how to eat to reverse menopause weight gain with precision and sustainability. I’m so excited to share it with you - it is has been getting insane results.

⚡️Doors open soon.

💬 Comment WAITLIST or DM me for first access and an exclusive (and incredible!) early bird price❤️",false,WAITLIST
28,https://www.instagram.com/reel/DQSLR-Dk8_I/,2025-10-26 19:26,Multi-product,reel,"Perimenopause Diaries: I put my yogurt in the cupboard instead of the fridge this week🤷🏼‍♀️

Share your brain fog stories! What’s dropped from your brain this week?",false,
29,https://www.instagram.com/reel/DRc3e2FDD6i/,2025-11-24 19:36,Multi-product,reel,"#MitoQ Partner If you’re in perimenopause and feel like your energy has left the chat - you’re not broken. You’re not lazy. You’re not imagining it. 

You’re likely dealing with the silent side effect of declining estrogen: 

➡️ Mitochondrial slowdown 
➡️ That bone-deep exhaustion caffeine can’t touch 

This was me - wanting to move, knowing it would help, but dragging through molasses just trying to show up. 

Then I learned about mitochondrial health - and started taking MitoQ Pure: it contains the world’s first mitochondria-targeted antioxidant. 

✅Up to 69% more cellular energy (ATP)* (*based on preclinical data) 
✅ Up to 48% less oxidative stress 

Not a stim. Not a quick fix. A “rebuild-from-within” shift. 

Now I’m not surviving my day - I’m participating in it.
Has your energy been MIA too? 

Right now, MitoQ has up to 40% off for Black Friday - so it’s the best time to try. 

Check it out at my link in bio.",true,
30,https://www.instagram.com/p/DToMWE1DKyh/,2026-01-17 22:14,Multi-product,image,"Hands up if you’ve ever fanaticised about disappearing into the forest with noise-cancelling headphones and zero responsibilities… you’re not alone🙏

Share this if you love your people… but also want them all to leave you alone sometimes😅",false,
31,https://www.instagram.com/reel/DUZPrqcjBcn/,2026-02-05 23:22,Multi-product,reel,"✨Why fat loss feels impossible in perimenopause

Your body hasn’t betrayed you.
It’s not a willpower problem.

It’s insulin resistance.

When your body stops responding to insulin properly, fat loss becomes a full-time battle.

And it usually shows up like this:
→ You’re hungrier than you “should” be
→ You’re stuck with stubborn belly fat
→ You’re craving sugar but blaming yourself
→ You feel inflamed, tired, and “off” in your own skin

It’s not just weight.
It’s abdominal fat that drives inflammation and tells your metabolism to store more.

⚡ Here’s How We Start to Fix It

1️⃣ Balance blood sugar: don’t just cut calories.
→ Protein, fiber, slow carbs = no blood sugar rollercoaster
→ No more “good all day, binge at night” spiral
→ Energy levels that actually last

2️⃣ Lower insulin = lower inflammation.
→ This is the quiet chaos keeping your hormones in survival mode
→ Less puffiness, less pain, fewer crashes

3️⃣ Build lean muscle.
→ Muscle is your metabolism’s best friend
→ More muscle = better insulin sensitivity
→ And yes, that means more burn even at rest

✨Addressing insulin resistance is the fastest, and most effective, way to lose fat in perimenopause✨
❌ And it doesn’t require deprivation, starvation, or misery.
✅ It just requires knowing how to eat for your midlife metabolism

That’s what She Gets Lean™ is built for.

A 3-week reset that shows you exactly how to lower insulin, reduce inflammation, and finally lose weight in a way that feels good again.

Comment LEAN if you’d like to learn more💕",false,LEAN
32,https://www.instagram.com/p/DVhJrDcDAms/,2026-03-05 21:33,Multi-product,carousel,"Nobody talks about the grief in perimenopause.

Not grief for youth.

Grief for the version of you that felt capable without trying so hard.

The woman who could walk into a meeting, speak clearly, and finish a sentence without suddenly losing the word she was about to say.

The woman who could juggle work, kids, a messy house, and a million responsibilities… and still have patience left at the end of the day.

The woman who didn’t lie awake at 3:12am, heart racing, replaying a conversation she had six hours earlier.

The woman who didn’t feel irrationally irritated by the sound of someone chewing, breathing, or asking one more question.

The woman who could have a glass of wine at dinner and not wake up at 3am with anxiety buzzing through her chest.

The woman whose jeans fit the same way week to week… instead of waking up one day wondering when her waistline quietly changed.

The woman who felt sharp. Steady. Solid in herself.

And suddenly…

You lose your train of thought mid-sentence in a meeting.

You walk into a room and forget why you went in there.

You snap at your kids over something tiny and feel immediate guilt.

You reread the same email four times because your brain just won’t lock in.

You wake up tired no matter how early you went to bed.

And a small voice starts whispering:

What is wrong with me?

So many women think this means they’re becoming less capable.

Less resilient.

Less themselves.

But what’s actually happening is physiology colliding with a life that hasn’t slowed down.

And the margin you used to have… the one that let you handle everything… suddenly gets smaller.

So the same life…

feels heavier.

That grief you feel?

It’s not weakness.

It’s the recognition that you know exactly what you’re capable of.

And you refuse to disappear during the decade where your power, wisdom, and voice should be getting louder, not quieter.

I’d love to hear: does this resonate with you? 

Where are you feeling grief right now in perimenopause?

Tell me in the comments. I read every one.",false,
33,https://www.instagram.com/reel/DXZTdd-jC4X/,2026-04-21 13:33,Multi-product,reel,"Nobody talks about the grief of perimenopause. And I think it’s time we did.

Because it’s not just hot flushes and weight gain. 

There’s a grief underneath all of it that nobody names.

Grief for the body that used to respond the way you expected. Grief for the energy you used to have. 
Grief for the version of yourself that could eat whatever she wanted and bounce back by Monday.

She’s gone. And that’s a loss. 

A real one. 

And you’re allowed to feel it.

I felt it. 

I spent months being angry at my body for changing. For not cooperating. 
For making everything harder than it used to be.

And then I realised... I wasn’t angry. I was grieving. And once I let myself grieve, I could start building. 

Not rebuilding. Building. 

Something new. 

Something that actually fits who I am now.

You don’t have to pretend you’re fine with all of this. You just have to know that on the other side of that grief, there’s a version of you that’s stronger, more self-aware, and more at home in her body than she’s ever been.

She’s waiting for you. But you have to let go of the old one first.

If you felt this, share it. Not for me, but for the woman in your life who’s going through this silently. 

And comment SEEN if it resonates - so that other women see they’re not alone in this.",false,
34,https://www.instagram.com/reel/DZf-ggosIYV/,2026-06-12 20:42,Multi-product,reel,"You’re phenomenal.

Even if you’re struggling right now. 
Even if it feels hard. 
Even if you’re feeling lost and alone. 

You are a phenomenal woman. 

And the best is yet to come💕

Share this with your midlife sisters who may need the reminder🤍",false,
35,https://www.instagram.com/reel/DaYUr30t6pb/,2026-07-04 17:56,"High-ticket (Rebuilt, VIP/Apply)",reel,"The first two are far easier to work on…😅🫠

Share this if you can relate🙋‍♀️",false,
36,https://www.instagram.com/reel/Da88jfFMFoH/,2026-07-18 23:15,"High-ticket (Rebuilt, VIP/Apply)",reel,"there have been times in the perimenopause journey where I haven’t been able to recognise myself or my reactions.

snapping at my kids. losing my sh*t over things that would have never bothered me before. catastrophising my family’s safety on a regular Tuesday morning. not unusual.

for the longest time my strategy was to push the feelings down and power through. spoiler: that made me snappier, not calmer.

so now I do something different. it sounds almost too simple, but stay with me.

I stop.

I sink into my body and locate where the emotion is actually sitting. chest? throat? stomach?

then I name exactly what I’m feeling and describe it to myself. like this: “I’m feeling anxious. it feels tight, dense and sticky in my chest.”

and then, instead of running from that feeling, I focus on it. I just stay with it.

here’s why i love it so much: after a while, the feeling starts to fade. on its own. without me snapping, spiralling, or reaching for something to numb it.

there’s real science behind this - naming an emotion actually dials down the alarm centre in your brain and brings your thinking brain back online. psychologists call it “affect labelling.” I call it the “feel it” theory - because instead of pushing the feeling away, you actually feel it. and that’s what sets it free.

perimenopause can be a rollercoaster of emotions and feelings that can knock the wind right out of you - but this practice has been completely transformative for me. not because it makes the hormones disappear, but because it gives me a way to ride the wave instead of being dragged under by it.

try it next time a big feeling hits: stop, locate it, name it, describe it, stay with it.

then come back and tell me in the comments what you felt and where it was sitting - I read every single one.

and follow along @whatthemenopause - we talk about this kind of stuff all the time. 🤍",false,
37,https://www.instagram.com/reel/Db5lAwOs2Qx/,2026-08-11 12:22,"High-ticket (Rebuilt, VIP/Apply)",reel,"after working with thousands of women in perimenopause as a registered nutritionist and personal trainer, i know this to be true. i see it in every single woman i work with.

and the science backs it up. research on midlife women found that higher cortisol tracks with more severe symptoms - and that the women with the worst symptoms show measurably altered stress-axis function. it runs both ways. chicken or egg? honestly, it doesn’t matter.

because your nervous system is the foundation everything else is built on. not the “woo” part of your health. the foundation.

when it’s dysregulated, your body reads every demand of your life as a threat. and a body that thinks it’s under threat will not prioritise steady moods, deep sleep, a calm gut, or a metabolism that behaves. it’s too busy surviving.

when i started building what i call nervous system fitness - training it deliberately, like a muscle - my window of tolerance expanded. not because my life got easier, but because my capacity got bigger. and then my energy, drive and ambition came back.

and here’s the bit most people miss. your nervous system is shaped by sleep, movement, nutrition and stress - but also by the subconscious beliefs quietly running your patterns for decades. the pushing through. the not asking. the being fine.

you cannot out-supplement a nervous system stuck in survival mode.

tell me in the comments - are your symptoms worse in your most stressful seasons?

and if your nervous system is running on empty and you’re ready to expand your capacity - to stop just surviving your days and feel your energy, drive and ambition come back - this is the exact work we do inside Rebuilt. 

i have 3 spots open for August. 

comment REBUILT and i’ll send you the details personally.

follow along @whatthemenopause - we talk about this kind of stuff all the time. 🤍",false,REBUILT
38,https://www.instagram.com/p/Db8wBshDL0b/,2026-08-12 17:56,"High-ticket (Rebuilt, VIP/Apply)",carousel,"She had the Mounjaro prescription in her hand. She never used it.

Four leaks were driving everything, and nobody had ever looked for a single one.

To be clear: I’m not anti-Mounjaro. If you’re on it, I’ll help you do it properly. What I’m against is reaching for it because nobody ever bothered to check what was actually broken.

Comment: REBUILT and I’ll show you where we’d start with you.",false,REBUILT
39,https://www.instagram.com/reel/DcrafLNsApG/,2026-08-30 21:05,"High-ticket (Rebuilt, VIP/Apply)",reel,"Kate’s down 25lbs and has kept it off.

But that’s not even what she’s happiest about.

She told me:

“I’d forgotten what it was like to love being in my body. I feel more ME than I have in years.”

Before working with me, she’d spent 3 years trying to lose the weight.

The first thing we did was run my Full Body Audit.

It showed us her biggest leaks weren’t a lack of discipline.

They were stress + blood sugar.

And the two were feeding each other.

So instead of giving her another diet to try harder at, we worked on the things that were making it so hard to follow through in the first place.

So why give your body another year of guesswork?

You’re at the top of your game.

You’ve built the career, the home, the family, the life you once imagined.

You’re used to being the person who figures things out.

But THIS is the one problem you can’t seem to crack.

Rebuilt is my private 16-week programme where we stop guessing, identify what’s actually keeping your body stuck, and rebuild from there.

Comment REBUILT and let’s chat.",false,REBUILT
40,https://www.instagram.com/reel/Dc_93TVMUBV/,2026-09-07 20:28,"High-ticket (Rebuilt, VIP/Apply)",reel,We need to talk about this more. Can you relate to this? Tell me all about it👇🏻,false,
